date,Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2
2016-01-11 17:00:00,127,30,19.81,29.28,20.33,43.22,19.52,45.75,21.92,35.76,19.16,30.53,14.7,74.29,21.32,30.87,21.44,32.27,18.88,41.49,11.0,762.4,68.2,4.41,66.0,4.46,40.42859,40.42859
2016-01-11 17:10:00,179,40,20.28,45.63,20.95,38.23,20.98,48.3,19.53,40.34,21.63,35.97,16.49,78.31,21.28,34.2,20.93,36.54,19.41,38.51,12.26,756.6,73.7,4.98,42.1,5.12,17.884175,17.884175
2016-01-11 17:20:00,181,50,18.4,42.56,19.06,47.54,19.93,38.89,20.56,41.84,20.32,35.48,9.38,92.11,20.22,33.03,18.96,42.33,22.24,34.36,8.39,761.1,84.0,14.0,45.6,5.38,21.440813,21.440813
2016-01-11 17:30:00,129,0,18.08,46.73,19.71,41.78,20.6,47.31,17.85,35.9,17.61,44.04,8.37,85.54,19.35,39.86,19.67,36.2,17.22,40.72,6.15,765.7,66.4,14.0,30.6,-1.8,0.225918,0.225918
2016-01-11 17:40:00,166,10,20.77,47.22,18.78,35.87,19.96,41.25,18.8,34.04,19.73,49.81,4.3,43.8,18.84,40.01,19.82,41.2,19.51,25.71,4.3,761.9,51.4,7.81,42.1,-5.31,26.271069,26.271069
2016-01-11 17:50:00,192,50,17.68,39.75,19.4,36.54,19.11,27.01,19.58,33.94,17.2,44.54,6.68,63.68,22.6,34.29,21.97,34.52,20.76,44.56,7.76,758.9,47.3,1.49,38.6,-3.34,26.1743,26.1743
2016-01-11 18:00:00,185,0,17.52,59.5,19.46,34.54,18.56,43.31,20.13,59.89,18.54,39.42,7.22,67.81,19.04,42.72,18.83,30.28,20.86,43.99,5.99,762.5,73.4,2.21,30.1,2.65,5.670272,5.670272
2016-01-11 18:10:00,164,0,18.93,48.17,16.38,32.34,18.86,50.13,18.85,47.62,21.99,20.52,4.22,66.35,20.76,44.38,19.78,42.86,20.73,46.4,6.43,754.7,59.8,3.73,29.1,-1.92,32.97891,32.97891
2016-01-11 18:20:00,143,0,17.62,38.68,17.9,44.54,17.73,36.9,17.44,37.27,21.35,37.47,3.75,67.01,19.13,36.92,19.54,45.22,20.8,36.66,5.97,757.0,70.8,2.34,45.7,-2.07,39.482428,39.482428
2016-01-11 18:30:00,124,0,19.51,35.7,19.35,27.98,17.91,38.75,19.91,42.75,18.98,39.04,7.84,48.01,19.55,41.57,19.43,37.38,19.43,39.69,6.5,758.6,60.6,1.5,31.9,-1.44,18.071941,18.071941
2016-01-11 18:40:00,183,70,19.38,32.82,18.15,51.18,18.96,41.29,19.62,32.5,19.36,35.73,5.11,56.52,20.83,42.5,21.1,37.45,19.94,41.51,8.14,763.5,70.1,6.46,28.7,0.75,9.140675,9.140675
2016-01-11 18:50:00,187,20,19.71,36.81,19.63,45.17,15.75,40.8,18.06,51.04,19.14,45.58,6.03,99.87,21.06,33.23,19.82,35.31,17.36,35.39,6.59,762.0,93.5,0.97,55.8,5.7,46.817041,46.817041
2016-01-11 19:00:00,119,0,20.11,41.95,20.51,48.16,18.86,35.85,21.06,30.81,20.72,46.79,4.24,86.68,21.4,36.97,18.96,49.08,20.64,39.41,5.93,762.5,86.9,0.3,58.4,4.21,30.769452,30.769452
2016-01-11 19:10:00,169,0,18.99,38.12,19.78,27.67,18.19,43.12,18.08,41.88,18.43,36.66,4.9,72.67,20.58,40.29,19.11,45.2,21.29,49.28,4.43,760.2,74.3,5.45,28.8,-1.67,1.928658,1.928658
2016-01-11 19:20:00,131,0,19.72,46.73,16.51,40.47,18.58,42.59,19.0,34.8,18.96,32.2,2.9,64.81,17.69,39.98,17.81,38.55,19.33,37.23,3.27,757.2,71.9,5.31,52.7,-2.01,15.885582,15.885582
2016-01-11 19:30:00,110,0,16.39,48.78,17.98,42.39,17.73,43.17,19.17,38.51,20.22,41.2,7.78,73.18,19.14,42.84,20.08,38.64,19.38,31.74,4.85,766.3,66.1,0.73,20.3,-1.68,47.999241,47.999241
2016-01-11 19:40:00,112,40,18.58,44.18,19.61,43.01,19.1,38.31,21.15,39.56,20.53,34.32,5.92,74.67,21.1,39.71,20.35,46.93,19.6,48.79,5.3,757.6,80.9,0.71,28.6,0.43,29.025457,29.025457
2016-01-11 19:50:00,135,60,16.81,39.75,18.94,35.65,17.57,32.58,22.5,47.15,18.16,39.16,7.04,66.64,21.3,40.53,20.97,35.95,21.24,54.84,7.83,762.0,72.0,3.09,25.4,1.73,18.929225,18.929225
2016-01-11 20:00:00,133,0,18.99,48.26,20.28,41.92,20.19,34.57,18.56,40.55,21.72,32.98,5.51,72.23,19.32,47.36,19.87,52.63,18.33,36.02,5.16,759.9,89.3,3.96,34.0,4.43,24.235188,24.235188
2016-01-11 20:10:00,135,40,20.36,40.62,17.86,35.71,19.29,45.57,18.84,45.65,19.56,38.21,4.55,77.88,22.52,45.52,18.89,36.45,21.19,36.85,6.23,762.6,77.3,2.4,40.0,1.52,46.705429,46.705429
2016-01-11 20:20:00,112,50,16.83,53.19,18.12,38.09,18.17,31.02,18.16,35.35,17.83,29.54,1.65,86.46,17.67,25.99,20.67,47.63,18.69,43.29,3.79,757.9,78.0,1.99,24.9,-0.94,43.287783,43.287783
2016-01-11 20:30:00,127,0,15.86,30.83,18.28,43.77,19.35,39.7,20.08,34.56,18.02,40.11,0.37,57.45,15.86,47.54,18.37,32.82,19.38,45.89,2.55,764.6,60.0,2.95,34.8,-5.28,18.691227,18.691227
2016-01-11 20:40:00,70,0,17.35,42.12,18.99,39.57,17.11,46.55,19.09,40.88,18.24,45.09,-3.35,71.44,22.1,36.33,21.01,34.46,18.65,38.86,2.66,765.9,71.3,5.14,28.6,-3.39,19.612771,19.612771
2016-01-11 20:50:00,149,30,19.21,43.59,16.9,45.13,19.74,37.06,18.57,44.08,18.58,36.07,0.02,87.84,20.21,50.49,20.12,25.16,19.01,32.88,2.8,764.3,96.0,0.77,42.8,1.85,27.789071,27.789071
2016-01-11 21:00:00,98,0,19.07,51.43,20.29,30.89,20.64,41.92,20.3,39.93,18.94,44.53,4.39,69.49,22.1,38.28,19.89,38.97,21.41,35.38,6.86,761.0,62.2,3.49,41.4,-0.22,8.409107,8.409107
2016-01-11 21:10:00,114,50,17.45,39.38,19.46,39.94,19.13,38.26,17.83,46.52,17.88,44.78,-2.66,66.3,21.62,40.64,18.76,38.45,18.34,41.38,2.22,758.6,75.4,1.5,56.6,-2.53,36.379418,36.379418
