date,Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2
2016-01-11 17:00:00,138,40,18.89,32.77,18.72,53.99,18.81,43.57,23.33,35.86,18.68,43.43,9.57,71.17,19.54,42.6,19.63,49.9,20.25,36.22,6.79,766.3,73.2,2.23,36.7,1.19,19.350853,19.350853
2016-01-11 17:10:00,191,50,18.07,39.5,19.37,42.87,17.49,37.18,19.73,36.13,17.9,37.45,2.75,79.37,21.2,48.21,19.63,28.78,19.07,33.66,4.66,757.4,80.4,11.29,66.0,-0.63,45.381414,45.381414
2016-01-11 17:20:00,149,60,18.71,36.27,18.5,39.67,19.02,32.07,17.65,47.43,23.02,37.01,4.82,82.12,20.82,39.01,19.38,39.19,19.36,47.02,7.22,761.8,85.8,5.05,34.9,3.61,31.632178,31.632178
2016-01-11 17:30:00,144,40,17.13,41.94,20.54,43.64,20.71,46.74,19.28,32.75,20.71,37.27,8.8,73.83,20.86,44.91,21.11,46.29,19.51,28.4,7.38,759.5,75.3,4.52,27.0,2.69,14.002885,14.002885
2016-01-11 17:40:00,144,0,16.6,47.36,19.52,39.85,15.78,43.54,16.27,46.35,18.07,41.5,2.66,54.17,18.69,27.54,21.53,34.75,20.88,33.88,2.9,759.7,56.2,4.98,51.0,-6.08,44.378869,44.378869
2016-01-11 17:50:00,163,0,18.15,47.0,18.61,34.42,18.34,36.32,18.39,46.31,16.74,40.42,3.34,73.31,20.73,39.56,17.56,30.74,17.59,38.09,3.73,766.1,68.6,1.63,23.2,-4.27,13.763733,13.763733
2016-01-11 18:00:00,141,0,20.83,32.07,16.94,33.81,20.36,33.87,19.14,42.47,17.91,38.3,5.59,100.0,20.57,35.82,18.57,42.59,21.26,41.87,5.73,760.0,100.0,5.18,48.4,5.55,6.398984,6.398984
2016-01-11 18:10:00,193,40,17.39,37.72,17.31,40.61,19.2,42.53,20.99,32.18,18.89,36.88,2.05,54.94,18.9,35.2,19.81,38.77,20.12,41.16,4.9,758.9,63.3,4.71,47.0,-2.55,28.385937,28.385937
2016-01-11 18:20:00,194,20,18.32,33.92,19.23,46.75,21.42,46.28,21.75,36.48,18.73,49.52,3.31,63.41,18.97,45.36,19.04,39.98,20.55,45.81,5.19,759.3,74.9,3.2,61.9,1.59,24.905378,24.905378
2016-01-11 18:30:00,183,0,19.34,43.91,19.13,40.85,18.67,46.53,16.78,39.33,20.0,45.44,3.61,85.76,21.3,44.16,18.45,38.64,20.29,32.71,3.76,758.3,80.6,9.2,45.0,-0.0,11.684567,11.684567
2016-01-11 18:40:00,213,40,17.28,42.8,16.91,36.6,21.06,45.17,19.49,33.91,19.47,40.61,5.09,93.43,20.28,45.0,18.46,52.2,19.72,33.45,6.19,757.7,83.5,6.35,37.2,3.77,30.393704,30.393704
2016-01-11 18:50:00,261,40,17.89,48.74,19.33,30.6,19.52,45.31,18.72,45.83,19.8,30.38,3.0,73.55,21.35,44.36,17.88,43.11,19.86,34.01,5.85,758.4,67.8,1.26,39.6,1.27,41.751023,41.751023
2016-01-11 19:00:00,248,0,18.27,37.27,19.25,35.78,18.25,37.81,18.21,48.65,21.09,37.42,4.89,100.0,20.5,51.61,19.7,45.58,18.26,45.7,4.6,767.0,88.5,2.61,65.7,3.5,22.313569,22.313569
2016-01-11 19:10:00,168,0,18.24,38.09,22.13,42.88,18.9,35.0,19.9,36.92,19.51,32.8,8.05,93.12,20.33,43.48,19.76,47.04,19.01,31.05,6.0,763.2,86.6,2.2,40.8,2.19,10.905338,10.905338
2016-01-11 19:20:00,233,70,19.37,37.58,18.72,48.55,19.67,30.93,20.03,39.5,18.21,41.71,6.81,75.44,20.91,39.9,20.49,38.29,19.75,53.77,4.81,759.0,79.0,1.67,37.4,0.39,38.631063,38.631063
2016-01-11 19:30:00,167,0,19.92,42.87,19.27,38.44,18.6,47.87,19.17,43.33,18.4,41.46,-0.78,62.44,18.09,42.28,18.99,41.18,21.73,26.15,2.62,764.3,65.7,8.45,39.2,-1.38,2.757382,2.757382
2016-01-11 19:40:00,110,0,17.12,43.24,16.75,40.35,19.52,42.97,19.43,36.45,20.29,41.1,4.37,72.26,18.18,42.75,20.18,43.3,17.45,37.13,4.26,754.0,69.6,2.6,45.7,-2.69,31.709062,31.709062
2016-01-11 19:50:00,149,0,17.66,33.66,17.86,40.3,16.86,37.38,18.76,27.68,19.23,37.07,0.03,59.6,20.11,38.56,19.71,36.07,20.17,38.51,2.07,765.9,68.8,6.43,35.5,-4.25,7.928882,7.928882
2016-01-11 20:00:00,104,0,19.57,29.44,17.82,38.38,19.4,40.88,18.58,34.62,17.94,49.53,1.56,80.24,17.36,42.83,19.68,45.41,19.38,39.37,4.61,765.5,73.3,5.27,27.6,0.2,36.744962,36.744962
2016-01-11 20:10:00,171,70,20.76,38.42,19.45,45.31,17.71,38.04,17.8,41.16,17.51,43.22,0.87,78.03,20.03,39.75,17.57,32.65,21.86,41.45,3.01,769.3,89.8,1.23,31.9,1.35,42.306366,42.306366
2016-01-11 20:20:00,114,0,19.29,33.12,18.67,33.44,17.44,40.75,16.57,37.8,19.25,39.1,-1.04,90.41,19.46,38.86,18.36,39.55,21.32,43.78,2.59,764.4,79.2,8.45,29.4,-2.05,47.403708,47.403708
2016-01-11 20:30:00,121,0,17.99,38.16,17.29,46.18,18.71,45.04,16.82,51.83,19.48,37.81,-2.74,79.09,18.9,35.56,19.78,35.89,18.97,40.5,1.63,762.1,82.8,3.46,38.2,-0.85,24.717849,24.717849
2016-01-11 20:40:00,109,40,19.4,42.45,17.56,42.83,17.76,48.94,17.57,37.11,20.67,39.02,4.21,88.11,19.82,42.17,17.93,32.64,20.91,37.55,4.27,765.5,78.5,2.61,32.6,-1.43,20.447629,20.447629
2016-01-11 20:50:00,117,0,17.79,33.18,19.0,42.24,20.39,40.02,19.43,41.53,19.82,48.54,2.35,89.93,18.72,38.76,17.28,42.56,19.42,23.38,1.99,757.9,92.5,0.92,37.8,0.07,15.151155,15.151155
2016-01-11 21:00:00,119,20,19.2,33.79,19.88,40.64,18.01,37.17,15.71,49.74,21.92,33.35,3.07,71.18,21.81,47.0,19.87,31.1,21.55,32.09,1.36,758.8,61.9,1.76,38.2,-5.81,24.099217,24.099217
2016-01-11 21:10:00,125,0,17.78,39.66,19.94,44.54,16.64,34.9,18.34,48.94,22.07,39.61,2.93,49.57,18.1,48.93,20.4,41.63,20.47,48.82,1.25,760.1,40.1,1.43,43.2,-11.79,11.087878,11.087878
2016-01-11 21:20:00,134,20,17.61,55.45,17.56,39.11,15.94,41.44,19.72,39.23,20.3,35.55,3.99,89.79,20.02,21.69,17.77,44.85,19.62,32.12,2.36,765.8,77.6,0.69,28.4,-0.82,32.340309,32.340309
2016-01-11 21:30:00,83,0,18.53,36.75,18.26,40.47,18.04,28.42,18.03,44.24,18.84,44.5,0.76,75.78,18.54,37.39,18.15,52.48,19.93,50.62,1.9,756.9,78.2,5.0,60.4,-1.8,10.822264,10.822264
2016-01-11 21:40:00,64,0,17.36,44.18,19.41,42.92,18.2,34.24,17.52,33.59,18.51,46.79,-0.84,84.06,17.24,36.44,21.33,52.77,18.76,37.07,1.75,756.5,78.2,1.49,54.9,-1.34,42.985088,42.985088
2016-01-11 21:50:00,77,10,19.37,31.69,16.83,43.25,16.8,38.84,18.4,31.59,18.72,45.66,2.53,85.01,18.02,35.33,21.29,21.43,18.48,24.36,1.56,761.3,72.0,3.88,46.5,-2.07,38.964995,38.964995
2016-01-11 22:00:00,126,60,19.85,48.59,19.75,41.72,18.95,36.38,18.1,43.22,18.65,47.67,3.75,57.88,19.81,31.61,22.37,44.94,20.31,45.74,3.92,763.2,66.1,7.86,48.8,-2.58,13.245452,13.245452
2016-01-11 22:10:00,124,0,18.06,39.33,16.96,34.58,17.8,48.78,18.4,51.87,15.66,43.47,-4.28,90.18,20.19,38.39,17.11,26.69,18.7,34.44,-0.11,757.5,78.4,5.92,26.4,-5.82,34.464735,34.464735
2016-01-11 22:20:00,65,0,18.36,40.77,16.89,46.0,17.33,35.62,20.61,48.54,17.67,42.05,-1.03,68.34,19.92,33.86,18.35,31.23,17.1,34.38,-0.48,763.0,76.1,4.34,33.0,-4.88,9.037302,9.037302
